Predict,y
0.56557583,1.47
0.77606456,2.374
0.46530563,0
0.56377849,0
0.74777983,0.901
0.47205366,0.942
0.63999363,0
0.49945704,0
0.87871581,0
1.27798754,5.554
1.03219121,0.557
0.56534949,0
0.75386916,0.484
0.90932934,0.458
0.56740899,1.015
0.78983882,0
0.55978492,0
0.41774294,0
0.87571206,6.278
0.55905164,3.12
0.45178533,0
0.87780709,0
0.34865699,2.85
0.58597809,0
0.3062463,0
0.67186971,2.434
0.44643409,0
0.51877048,0
0.60904287,0
1.18930458,0
0.35673117,0.935
0.38965528,0
0.75786128,0.916
0.65258273,0.458
0.33462454,3.396
0.58179147,0.458
0.52524993,0
0.67908114,0
0.87635564,0
0.76254039,0.942
0.96531513,0
0.48248154,0.458
0.98412704,2.347
0.46177017,0
0.77819436,0.965
0.75821848,0.942
0.60839111,0
0.72036007,0.458
1.22789023,0.408
0.77938105,1.397
0.57435103,0
0.79430641,2.405
0.72693841,0
0.54905462,0.455
0.68304499,3.308
0.28421579,0
0.56654328,0
0.55120941,0
0.46809386,0.458
0.58140129,0.477
0.82951931,0.916
0.82005244,0
0.61838842,0.484
1.09473676,0.458
0.46728671,0
0.98735958,0.866
0.62088505,0
0.57441101,1.015
0.38535047,1.015
0.57943053,0
1.31316347,0
0.74149611,0
0.83055587,0
0.79329587,0.458
0.9757499,0
0.74206623,0.458
0.50583713,1.041
1.27325386,0
0.58069094,0.458
0.4446926,2.441
0.78873785,2.476
1.13534403,0
1.23223398,0.484
1.21834345,1.015
0.82490172,2.582
0.75596108,0
1.09435158,0
0.62054315,0.484
0.84193327,1.947
0.7038507,2.488
0.59987563,0
0.66218309,2.524
0.54769782,0
1.11756407,6.868
0.51401036,0
0.54706755,0
0.27199821,0
0.37353906,0.458
0.98756362,7.956
0.90180207,0
0.71918112,0
1.20060975,0
0.47787459,0.484
0.7772911,0.458
0.60931308,0.458
0.62548507,0
0.65771405,0
0.46529061,0.484
0.70749122,0
0.5860722,0.484
0.91049503,0
0.55261852,0
0.3975733,0.477
0.62003425,1.93
0.54503335,0.942
0.57476429,2.298
0.59316753,1.015
0.74632134,1.4
0.96697556,0
0.5638946,0.458
0.65874501,0
0.50721077,1.976
0.48855745,0
0.69207752,0
0.57822004,0
0.78746443,0
0.76513191,0
0.5975797,0
0.77559445,0.458
0.37016565,0
1.00019887,0.557
0.71806695,0.484
0.80492793,4.24
0.59991718,0
0.69947206,0
0.66938866,0
0.88709344,0
0.87334728,0
0.62580607,0.991
0.55789432,0
0.67598124,0
0.72480317,0
0.43646432,1.423
0.81392469,0
0.5364759,0
0.39106725,0.458
0.75249443,0
0.67890162,0.455
0.79040439,2.434
0.71007145,0
0.53152901,0
0.46407926,1.499
0.61938592,1.015
0.9035281,1.015
0.4766608,0.458
1.03143783,2.415
0.95996006,0.458
0.61618907,0
0.43384831,0
0.59380247,0
0.64995251,0.961
0.54963118,0
0.63757739,0
0.75445424,1.041
0.72564679,1.015
0.59153538,0.484
0.68638668,0.458
0.69279022,0
0.36648506,2.846
0.64767253,0
0.44493369,0
0.52136802,0.484
0.91463271,0.484
0.57164615,0
0.67770458,2.384
0.45115673,0
0.89397932,0
0.57834345,0.942
0.62741883,1.499
0.26806714,1.4
0.67307341,0
0.95139557,0
0.60315835,0
0.50137034,0
0.75927462,0.458
0.46142571,0.458
1.01768704,0
0.49188162,0.458
0.7724378,1.499
0.49246961,0.458
0.65310696,1.283
0.6014133,0
0.71706368,0
1.06991385,0.484
1.15093384,1.015
0.66345712,1.957
0.34826219,0.484
0.54960203,0
0.93052066,5.516
0.4361886,0.961
0.65922786,0.965
0.57520249,1.499
0.51922185,1.041
0.61576565,0
0.4304983,1.499
0.36793713,0
0.56570457,0
0.6624326,0
0.19331229,0.458
0.77225013,0
0.47775523,0
1.14039271,0.408
0.72046727,0
0.31155922,0
1.3320626,0
0.582749,0
1.09764455,2.782
0.73490298,0
0.7000097,0.458
0.59035437,6.119
0.7938136,0
0.58701821,0
0.53362242,0
1.02518905,0
0.72209389,0.408
0.40774159,0
0.72909187,0
0.44882225,0.916
0.50074697,0
0.37138898,1.499
0.51144291,1.39
0.67729238,3.327
0.60107723,2.006
0.79074989,0
0.30600841,0.484
0.99699142,0
0.47048246,0
0.74644719,0
0.42147124,0
0.517362,0
0.98231852,1.015
0.31871611,0
0.29164445,0.863
0.58671573,2.749
0.63183795,1.716
0.55948379,0
0.51949152,0
0.68888908,2.364
0.97241439,1.907
1.00942352,0
0.65187635,0
1.0806174,0.892
0.82884801,0
0.63977045,0.458
0.81939218,1.419
0.47167483,0.477
0.77201678,0
0.62654154,0
0.56652655,0.942
0.8206766,1.35
0.77546927,1.907
0.50233428,0
0.55459942,4.439
0.64658019,0
0.72321673,0
0.91016763,0.484
0.70917767,0
1.14183926,0
0.60045801,0.942
0.63397917,0
0.6309992,0
0.66483023,0
0.42237436,1.015
0.58311627,0
1.33487634,1.473
0.62773812,2.365
0.60871201,0
0.55134535,1.499
0.62924009,0
0.64416393,1.015
0.93947524,0.942
0.77266617,3.842
0.71897403,0
1.04329028,0.484
0.61083321,1.95
0.31833359,0.942
0.41640911,0.458
1.25586561,1.499
0.35933025,1.015
0.61457962,0
0.81516919,0.484
0.82744921,0
0.8860018,0.458
0.42379205,2.365
0.55744731,0
0.44867482,0
0.31460897,1.4
0.60654681,0
0.46760043,1.907
1.06454237,0
0.38805997,0.935
0.47523381,0
0.694524,0
0.94216717,0
0.44297796,0
0.564133,4.146
0.89075465,8.026
0.71737389,0
0.67478929,0.942
0.54305973,0.458
0.66892459,1.015
0.82339217,0.458
0.8490771,1.878
0.63782413,0.916
0.35062083,0
0.71764325,0
0.59068451,0.458
0.35681564,0
0.42816812,0
0.74379564,0
0.75680725,2.514
0.32436626,0.458
1.01712645,0
0.48965855,0
1.22499066,0
0.66674893,0
0.73232971,0
0.44473508,0.557
0.73654593,0
0.47446706,1.499
0.77037323,0.458
0.55743955,0
0.47640735,0.557
0.71335308,1.458
0.61415441,0
0.81937259,0
0.7844369,3.037
0.67187423,0
0.80009086,0.417
0.72266186,4.442
0.32620643,0
0.68941697,0
0.89056409,0
0.5322954,1.015
0.4588809,0
0.66161491,3.081
0.35752854,0.942
0.59346892,0.477
0.44811059,1.015
0.60083952,0.458
0.51374482,0.408
0.39837891,0
0.46238957,0
0.48454618,1.015
0.59238066,0
0.71263146,1.499
1.28084004,4.312
0.62900787,0.484
0.78573486,0.458
0.48914501,0.484
0.43685299,2.441
0.60460667,1.957
0.94627839,1.618
0.59471738,0
1.15464345,0
0.89842573,0.458
0.95309916,0
0.66532517,0
0.79301514,4.638
0.50966281,1.426
0.58120985,0
1.11988768,0.458
0.53598223,1.419
0.70018812,0.557
0.69124474,0
0.40488639,0
0.4669175,0.916
0.73336987,0
0.42376299,0.984
0.53101125,0.825
0.19902999,0
0.58062767,0.458
0.446753,0.458
1.09604538,1.276
0.59163069,0
0.65160732,0
0.81721032,1.957
0.66311019,3.495
0.63598239,2.384
0.67340964,0
0.55748499,0
0.84991474,0.458
0.97325577,0
0.02226439,1.015
0.64615211,0
0.47997761,0
0.91511693,0
0.91118364,0
1.00549336,5.229
0.62921293,0
0.63480401,0
0.91411821,0
0.40531047,0.458
0.62539986,0.458
0.50113807,0
0.8739214,0
0.88410273,1.957
0.84776224,0
0.79654294,2.922
0.7330561,0.458
0.86297497,0.866
0.28162088,0
1.22687172,0.477
0.76904454,1.432
0.546319,0
0.61923499,0
0.9812255,1.419
0.75184992,0
0.80242766,0
0.83843673,0
0.87674757,1.489
0.80593004,0.484
0.36009767,0
0.69473289,5.631
0.37252167,0.942
0.28662594,0
0.58316466,0
0.42785555,0
0.80655373,0.458
0.73817506,0
0.84622151,0
1.18310615,0.942
0.88725513,0
0.70215159,1.4
0.85601356,2.365
0.45223663,0
0.53268517,0
0.90244661,2.583
0.90079202,1.881
0.70828636,0
0.84827855,0.866
0.60663712,0.458
0.50356223,1.015
0.89858599,1.957
0.63468269,1.015
0.7616742,0
0.4498575,0.458
0.89297282,1.473
0.74583785,2.358
0.60718434,0
0.4615522,0.477
0.53982656,1.015
0.42526957,0.458
0.56306395,0
0.50512611,0.458
0.78757381,0.942
0.56331814,0
0.73151185,0.484
0.35812706,0
0.4373981,0
0.56210196,0
0.47671352,0
0.20135563,0
0.75122911,0
0.3977985,1.907
0.79588223,0
0.52187869,0
0.56517786,0.458
0.45599493,0
0.31848772,0.961
0.59718519,0
0.88503452,0
0.77298541,0
0.47265042,0
0.32051484,1.015
1.10265517,0
0.42471253,0.458
0.49042262,0.458
0.86017988,3.041
0.94636626,1.907
0.7856202,0
0.47601713,0
0.70726264,0
0.64734347,0
0.73699105,0
1.29968303,0
0.63772614,0.916
0.66255236,0
1.07960705,0.458
0.44168345,0.458
0.12412541,0
0.80605078,0
0.9837691,2.652
0.67163249,0
0.53344106,0
0.56576986,0
0.304728,0
1.0192958,0
0.74726665,0
0.20183922,0
0.73451784,1.015
0.5330854,0
0.50077297,0
0.61266383,0
0.38521254,0
0.59558659,0
0.72202798,0.916
0.47748766,0
0.50809227,0
0.50771353,1.499
0.63494504,0
1.04955575,0
1.28647724,0
0.8072097,2.175
0.54027084,0.484
0.90030068,0
0.51090339,0.942
1.07803144,0.942
0.88222544,0.458
0.58829064,2.175
0.55643485,0
1.22012726,0
0.62185401,0.458
0.263583,0.458
1.47853817,0
0.61163267,0
0.33494889,0
0.6854364,0
0.86466991,0
0.48878821,0.458
0.60917537,0
0.70600909,0
0.35454168,0
0.53992079,0
0.74812266,0
0.57919056,0.484
0.85053163,0
0.38201259,0
1.25336861,0
1.06609025,1.015
0.63910039,0
0.61768108,0.484
0.84647659,1.957
0.89894845,0
0.70279265,0.942
1.41848531,0
0.57527879,1.015
0.54143475,0
0.67952767,1.89
0.79823231,0.942
0.34945636,0.968
0.54561795,0
0.55141587,0.458
0.86474879,0
0.48289129,0.484
0.52005192,2.4
0.64574366,0
0.51789901,2.298
0.34655688,1.015
0.71863401,0.942
0.4435661,0
0.83293736,0
0.98576404,0
0.97876279,0
0.74098486,0.458
0.84899621,0
0.45383324,0
0.47130381,0.417
0.33545792,0.408
0.33102937,0
0.60472012,0
1.38910529,1.015
0.94152804,0
0.68941396,0.458
0.76928749,1.423
0.86625917,0
0.65503215,0.458
0.30991255,3.887
0.76613374,0
0.77173009,0
0.60167174,0
0.66400002,0.458
0.59848643,0
0.64924536,1.4
0.90217375,5.982
0.81013114,0
0.93334663,0.484
0.49817125,1.015
1.06048577,1.499
1.01728878,3.568
0.66686908,0
0.76977709,1.499
0.65838473,0.942
1.00838348,0
0.54557417,0
0.62818495,1.976
0.6231791,0
0.3477041,1.916
0.57610016,0
0.65022136,2.365
0.73933837,0
0.79898988,0
0.77403306,0
1.15317244,0
0.63462179,0
0.69369337,0
0.54493939,0.458
0.65706215,1.4
0.69828858,0.484
0.21825081,0
0.64926233,0
0.94636475,0
0.38336546,0
0.48246133,0
1.33786867,3.087
0.51987082,0
0.66563415,2.434
0.94345098,0
0.80779992,1.976
0.93685074,0.458
1.08750981,1.95
0.67612121,0
0.25234269,0.458
0.91566711,0
0.43818256,1.015
0.77588892,1.878
0.99849205,3.306
0.70027264,0.458
0.81051029,0.458
0.50233373,1.34
0.81397084,0.458
0.9583206,0
0.62571661,0
0.52414373,3.076
0.71721603,0
0.67236342,0
1.06528771,0
0.93634954,0.458
0.70507218,0
1.21257484,2.842
0.31206901,0
0.67425761,0
0.43833904,1.416
0.73512506,0
0.3483945,0
0.63977799,1.916
0.80306573,0.484
0.23950379,0
0.31275747,0.458
0.8274873,0.484
0.65829775,0.458
0.9281295,0
0.49326229,0.557
0.66098775,0.942
0.61582014,0.408
0.39259348,0
1.0400441,0
0.36720345,0
0.51219272,0
1.12388565,0.458
0.89491204,0.916
0.94965187,0
0.7349622,1.283
0.75370672,0.458
0.52356044,0
0.70423157,0.458
0.7605455,1.499
0.43440261,0
0.70075511,2.842
0.59287252,0
0.48984385,0
0.78897598,1.957
1.00633146,0
0.38501313,0.458
1.19384478,0
0.69892194,0
0.66410707,0
0.37828316,1.907
1.11925014,0.458
0.69149833,0
0.58425466,2.464
0.64719837,0
0.88715922,3.534
0.43305283,0
0.84475561,0
0.60605022,0
0.69843813,0.458
1.34327497,1.041
0.77986399,1.333
0.57377537,0
0.56610366,2.557
0.76952966,0
0.56658092,0
0.28864436,0.458
0.90471918,0
0.62795177,0
0.48397413,0
1.34264334,0
0.30542602,1.015
0.36971231,0
0.50424022,2.175
0.79775696,3.444
0.63530542,1.907
0.71841984,0
0.66163234,0.942
0.73326726,0
0.7456965,0
0.47353127,0
0.47986048,0
0.35493044,0.557
0.8259596,0
0.72393148,0
0.78459,0.458
0.75002074,0
0.67244579,3.866
0.6231325,0.942
0.39741662,1.423
0.53541101,0
0.97549832,1.473
0.72484683,0
0.44812203,0.408
0.53203405,0.557
0.73487237,0
0.6542654,0.458
0.71877861,0.484
0.80656515,2.384
0.50019564,0
0.66561636,0
0.77301871,0.408
1.35258654,1.473
0.43842162,1.473
0.94592461,1.957
1.15796059,1.041
0.76594147,0
0.69505293,0.965
1.15233666,0.484
0.58413866,0
0.85624561,2.805
0.48083501,0
0.63764408,0
0.88872562,0
1.02211541,0
0.31860601,0.417
0.62689867,0
0.72869447,0
0.67477766,0
0.43124638,1.352
0.48909857,0
0.72485916,0.484
0.86531378,0
0.48319277,0
0.50847937,0
0.44130628,0.458
0.7471956,1.473
0.89790254,0.557
0.56630485,3.388
0.61930446,1.499
0.76164167,1.954
0.47777912,0
0.49214704,1.499
0.65590515,0
0.69441276,0
0.96836471,0
0.57282885,1.359
0.80927261,0
0.49024787,0
0.44844298,0.458
0.89606323,0
0.86282906,0.913
0.4615834,0.484
0.70799399,0
1.03565644,0.458
1.18489872,0
0.63167442,1.35
0.65314262,0
0.75618045,1.015
0.65054681,4.304
0.5524784,0.458
0.0912598,0
0.64590657,0
0.74694408,1.015
0.78987157,0.484
0.52424489,1.758
0.72152901,0
0.57946202,0
0.66265934,1.907
0.40745774,0
0.44459207,0.484
0.64131747,1.843
0.61910001,0.942
0.3795572,0
0.5857705,0.942
0.63948076,1.957
1.16978478,0
0.7888909,1.907
1.00503507,0
0.788816,0
0.55007484,1.473
1.07612136,1.015
0.40420014,0.408
1.01575709,0
0.70622611,1.499
0.62496604,0.458
0.79528412,0
0.42534271,0.484
0.65769432,0
0.65649884,0
0.36418664,0
0.70837627,0.935
0.48212002,1.015
0.8736254,0.557
1.04746011,0
0.58330002,1.419
0.72550531,0
0.41124406,1.423
0.59845389,0.866
0.56158055,1.015
0.42744311,0
0.61733263,0
0.30888739,0.458
0.79580872,2.842
0.65519863,0.458
0.45934781,0
0.77168695,0
0.65065976,0
0.70543784,0
0.58229389,3.041
0.25704802,0
0.45360278,2.412
0.65064223,0
0.55361514,0.942
0.61918188,1.351
0.47905244,3.278
0.59494474,0.458
0.73540547,0.458
0.67825083,0
0.79777009,0.417
0.57800813,0
0.71257369,0
1.25568399,3.297
0.62190643,0
0.99107423,8.265
0.42737553,0
0.51667828,0.913
0.99293611,0.484
0.61394296,0
0.52516951,1.957
0.94710703,0
0.48307869,0
0.42488413,0
0.80030583,0
0.76827226,0.974
0.89538026,0.484
0.40764769,0
1.00743221,0
0.5048035,0
0.43700701,0.866
0.55927316,0
0.85845933,0.892
0.41305308,0.916
0.69359218,1.805
0.45126473,0
0.46537183,3.32
0.54102787,0
0.29605009,0.961
0.48535305,0.557
0.75886406,0.458
0.38378637,0
0.46554561,0
0.56536868,0.866
0.6128496,0
0.9257313,0.458
0.51052244,0.484
1.16842667,1.957
0.6208525,0.458
0.99940662,0
0.54745375,1.907
0.52138826,0
0.43271698,0
0.47228863,0
0.71418025,0
0.67580751,0
0.51587741,0.458
0.81030436,1.957
0.7614166,1.473
0.84429325,1.473
0.72547584,0.935
0.50849733,2.365
0.48635771,0
0.49184108,0
0.6548957,0
0.762648,2.869
0.67903404,0
0.52458167,0
0.74303804,0
0.75013438,1.522
0.93242182,0
0.6097,5.463
0.62865599,0
1.05504919,0
0.70027707,0.866
0.8709103,0
0.93231472,0
0.56252718,0
0.44480117,0.484
0.339874,0
0.62175611,0
1.35920923,0
0.92679209,0
0.49605318,0
0.24639129,1.015
0.75637901,2.075
0.929132,1.35
0.75850835,0
0.90098309,0
0.7261514,0.901
0.81120421,0
0.62454861,0
0.69798114,0
0.85903589,1.957
0.73214829,0.942
0.63636826,0
0.304501,1.041
0.59727182,0
0.51409607,0
0.45683248,1.015
0.45552421,1.015
