Predict,y
5.79591174,8.593
7.41742929,21.071
4.70181666,1.964
5.30343792,0.556
8.36322243,5.181
4.02921773,20.481
5.53495716,0
5.33777316,0
6.45128323,4.073
10.72089074,25.059
8.75497908,4.443
5.76022401,2.944
6.13448401,5.202
7.33083092,9.704
6.17496593,10.465
7.29563439,2.215
5.86711966,1.696
4.4912387,1.092
7.44905372,41.048
5.3111591,16.452
5.23534905,4.046
6.15352844,2.598
3.38298428,22.506
5.72369219,0.509
3.66695431,1.088
6.17458625,11.119
3.89576329,5.478
4.58053503,4.975
5.77558395,3.611
9.72117285,3.836
3.70668728,6.482
4.28982832,3.865
6.75580893,9.291
6.88402028,7.111
4.34210974,15.172
5.08812962,14.149
4.78187449,0
6.14285469,4.23
6.22269943,0
6.61535567,5.991
7.37766635,0
3.60539929,2.683
6.5609803,33.886
4.99719374,1.052
7.83420723,2.893
6.10916434,11.793
5.5408349,0.662
6.08677954,1.979
8.49959865,2.83
7.19382046,9.149
4.87502981,0.662
7.14907007,21.708
7.39463271,0.662
5.28191266,2.065
6.77844538,13.08
3.16670514,7.79
6.13966718,2.149
5.6352494,0.649
4.64927882,5.955
5.65398001,3.252
6.49022264,7.738
7.15287337,0
5.33408484,6.753
8.90912047,5.104
5.01241529,1.049
8.62429858,13.956
4.86816376,7.549
5.80986079,2.224
4.42291434,9.739
5.33439449,0.778
8.85055086,1.196
6.46700069,0
6.27736763,7.641
6.4023217,0.729
8.506474,1.205
6.99694832,4.11
5.41430494,8.893
9.38569363,4.022
5.9210899,12.908
4.29802434,19.313
6.30324559,9.309
8.68786489,0.572
9.16943945,18.497
9.6736715,3.599
8.0329109,8.448
5.79237006,0.517
9.13158934,0.924
5.26043827,10.176
6.68181467,27.079
5.67432508,17.377
6.51704006,1.07
8.3073893,17.197
4.97050443,3.48
7.19621345,40.62
4.45728975,0.778
4.68302265,4.25
3.92219649,7.8
4.60960702,9.01
7.61905428,25.151
7.45269712,2.184
7.13722372,3.853
8.98852712,1.909
4.02900182,5.558
6.6646221,8.985
5.48235415,1.967
5.70853562,0
6.92375466,1.407
4.60237524,6.941
6.15428644,1.975
6.0110136,6.403
6.37078431,0.794
6.45280268,2.953
3.9269099,11.528
6.45736403,13.809
4.43675776,7.776
3.77746246,20.893
6.45047536,8.638
7.65270024,9.907
8.76382862,0
5.15551531,4.89
6.68181855,1.521
5.51421679,14.52
3.91469821,0.535
6.55092663,0
5.94147159,0.535
6.39193649,1.112
6.27277274,0.517
5.17281875,0.468
6.30383667,10.643
4.31705364,6.058
8.89223908,2.075
6.07649048,6.13
6.28931782,12.631
6.06355202,2.599
6.62540034,3.305
6.72601308,4.796
7.66057889,0
7.91387283,0.468
5.81432427,7.752
5.30880127,0
7.37852767,0.509
6.44007778,4.246
4.62168162,9.914
7.79702643,4.19
5.4838379,1.561
5.13433038,3.705
6.78029157,4.418
4.26765761,2.984
7.37447642,9.435
6.53370973,0.679
5.32684906,1.464
5.59619891,7.577
6.04562369,4.803
6.44147154,6.487
4.96790576,7.356
7.77743823,28.721
7.60683604,12.677
8.30618026,3.664
2.9536673,0
5.91778278,0
5.09323252,3.908
4.37577432,1.989
5.47443919,4.902
7.04268746,10.098
6.38850873,5.94
5.37118682,13.528
5.3059352,1.469
6.11730032,8.146
4.02621945,19.96
6.10892456,4.344
4.6649745,3.857
4.8165858,1.378
8.77061462,5.071
5.31416967,0
6.28567634,15.575
4.18460205,7.543
7.76487774,5.431
4.39778611,15.921
5.73278533,9.456
3.90310446,5.99
6.71901214,1.153
7.07474758,0.495
7.18506976,0.694
5.04316432,1.266
7.58524079,16.21
4.41690785,2.058
7.66676383,1.012
6.33275858,3.296
7.27818198,11.612
4.44704148,1.926
6.78155316,6.554
6.37380018,9.17
5.68679406,2.052
7.08262784,1.28
8.12641847,1.43
5.90010689,9.804
3.4266337,5.598
5.72282323,11.276
6.71798821,26.721
5.02961494,14.708
6.24829385,7.171
6.364571,7.97
5.73634861,6.176
4.98724257,0
4.95558067,9.102
5.39001253,2.907
5.51612275,0
6.1529256,0
4.14638178,10.353
7.44634579,0.517
5.47672576,0.656
9.16271196,8.387
7.11998467,6.069
3.24880318,1.97
11.42261651,2.987
4.68403567,0
7.68606779,14.325
6.75983574,0
6.15147795,4.205
7.1157317,28.861
6.13971216,5.514
4.88335347,2.374
5.70056054,1.483
7.23346906,0.649
5.11799334,5.402
4.44682107,1.088
6.06843951,1.3
2.63852949,1.876
4.73008368,5.414
3.56647007,8.29
6.48570377,24.074
7.08629653,22.575
5.59364896,13.602
6.38303736,3.092
3.97102066,2.746
9.00069661,4.246
4.72176588,1.677
6.45939727,0
5.40212415,3.307
4.72738619,8.873
8.58290605,12.675
5.0198461,0.517
3.22542703,8.733
4.83974299,16.529
5.04315966,6.413
4.48032521,5.156
6.48875354,7.669
5.25354482,14.297
9.64842037,21.575
7.91046489,2.629
6.45035794,11.868
9.29180093,22.033
7.37310905,0
6.93481223,14.955
