Predict,y
0.70239464,0.636
0.74508637,1.587
0.51532616,0.46
0.63513899,0
1.10510315,0
0.43967034,2.728
0.67684587,0
0.65870314,0
0.69272544,1.11
1.23155457,2.209
1.08599858,0.636
0.67510655,0.474
0.73779463,1.113
0.88279207,1.096
0.78790085,1.556
0.7888495,0
0.75254459,0
0.38358095,0
0.9070631,3.14
0.50909564,1.57
0.56584159,0.46
0.52886439,0
0.28637204,4.122
0.5828325,0.474
0.29995062,0
0.75455379,1.096
0.38747796,0.636
0.46963556,1.096
0.6385599,0
1.04973511,0
0.38450598,0
0.48508061,0.474
0.70573279,1.096
0.87245786,1.11
0.39322761,0.636
0.41676944,1.096
0.40190474,0
0.66332763,0
0.52838707,0
0.79736229,0
0.79327855,0
0.3131634,0
0.64302818,3.458
0.60287519,0
0.89188618,0
0.67306197,0.636
0.64716436,0
0.59590698,0
0.76637417,0
0.7937118,1.096
0.53801915,0
0.86598206,1.096
0.8288064,0
0.57294544,0
0.77782656,1.272
0.26067127,0
0.67094771,0
0.73505325,0.46
0.52802658,1.096
0.5153716,0
0.70750202,2.075
0.84849998,0
0.63888868,1.096
0.98501268,1.096
0.58619998,0.474
0.91745557,2.524
0.47518232,1.113
0.65415538,0
0.52341491,1.096
0.52989746,0
0.87487919,0
0.68775653,0
0.6612638,2.044
0.6481142,0
1.00492389,0.46
0.79289283,0.636
0.57724811,1.096
0.9409939,0.636
0.61258056,0
0.51184144,2.192
0.52968164,0
0.86890272,0
0.83857397,1.096
0.98704338,0
0.9582796,1.096
0.57410258,0
0.95887456,0
0.56415985,1.096
0.63738233,4.644
0.64901807,2.666
0.73707392,0
0.97982574,3.157
0.38387831,0.474
0.67098909,1.556
0.50901555,0
0.55591449,0.474
0.46504459,2.697
0.49554911,1.113
0.91060265,4.17
0.94311759,0
0.87650449,0
0.81791141,0.636
0.41673669,1.57
0.70488417,0
0.49663073,0
0.61538159,0
0.63615126,0.636
0.60825499,0.46
0.67356343,0
0.72579918,0.965
0.70488305,0
0.77113863,1.11
0.37577862,0.636
0.71000783,2.666
0.54538821,0
0.25867623,2.552
0.69287454,1.096
0.85908391,2.728
1.12277052,0
0.62296641,0.636
0.76796605,0
0.58862715,1.096
0.45475464,0
0.71816595,0
0.58967261,0
0.68366443,0
0.78731355,0
0.53615211,0
0.74137026,1.11
0.40004269,0
0.94197504,0.636
0.6879575,0.636
0.81231457,0.636
0.71062008,1.11
0.76312247,1.11
0.76425781,0.474
0.74330274,0
0.94890335,0
0.63413152,0
0.60169177,0
0.77697028,0.474
0.71603885,2.192
0.51598271,1.096
0.89389642,1.11
0.50603468,0.474
0.59242425,0.46
0.72103489,1.573
0.41345188,0
0.83526357,1.11
0.7803256,0
0.58981955,0
0.58832127,1.11
0.67796514,1.096
0.54790482,0.636
0.49340596,0.636
0.84034417,3.188
0.80281722,2.666
0.91441538,0
0.34233946,0
0.66290065,0
0.61769265,0.951
0.47012705,0
0.57764852,0.636
0.83081136,2.711
0.70621547,1.57
0.61160208,0.636
0.64009397,0
0.57683564,0.46
0.28801552,0.474
0.67583888,0
0.45622223,0
0.61363562,0
0.94808837,1.57
0.51727062,0
0.7161209,1.096
0.37258,0
0.88815637,0
0.4590623,0
0.54860654,0.636
0.33669481,0
0.81375174,0
0.65028114,0
0.87754282,0
0.60691821,0
0.8152525,2.711
0.45793645,1.096
0.82304599,0
0.80312582,0
0.83994483,0
0.5011881,0.636
0.74456969,0
0.68523148,0
0.55451172,0
0.6925544,0.636
0.79841957,0
0.60724733,1.587
0.35024381,0
0.68421647,1.096
0.69786613,1.732
0.58129043,0
0.76505945,0.937
0.72904815,0.636
0.58880736,0.636
0.39881995,0
0.63124367,1.096
0.63125627,0.636
0.61098934,0
0.76100161,0
0.40524624,0.636
0.89720327,0
0.59929768,0
1.00640922,1.587
0.90706506,1.746
0.32175773,0
1.33444557,0
0.47293279,0
0.73811848,1.096
0.70513892,0
0.53241636,0.636
0.71726252,2.666
0.62245307,1.11
0.54848536,0
0.62752582,0
0.65856754,0.46
0.49620479,0
0.4512689,0
0.62480065,0
0.25090274,0
0.54334684,1.096
0.36092103,1.096
0.67465816,1.732
0.75311494,1.096
0.64869937,1.11
0.82218606,1.584
0.39604484,0
1.10270045,1.11
0.47477324,0
0.67234722,0
0.64242638,0.636
0.50076769,0.474
1.00033176,0
0.71019965,0
0.33982898,0.46
0.35100384,1.11
0.37016488,0.46
0.52139035,0
0.67473891,2.666
0.52510808,0.46
1.13506269,3.143
0.78405888,0
0.61557919,1.556
1.0613637,3.617
0.86832966,0
0.82268206,1.732
0.89890883,2.047
0.76636722,0.636
0.54479162,0.636
0.60660988,0
0.63091102,0
0.85126145,2.092
0.80789576,0
0.38858407,0
0.48580289,1.57
0.7507118,1.11
0.66568028,0
1.12472031,0.636
0.68523302,0
0.72149856,0.934
0.56988675,0.474
0.63396564,0
0.58031104,1.57
0.72517311,0.474
0.51005786,1.096
0.69746877,1.096
1.01265089,0.636
0.81818708,0.474
0.6109349,1.456
0.6240142,2.711
0.43429545,0
0.58742887,1.096
0.98556602,0
0.82867072,2.192
0.79833827,0
0.97917138,0
0.54123846,0
0.32337859,0
0.4653948,0
1.05538533,2.047
0.37478714,0
0.22901739,0
0.88631238,0
0.84399733,0
0.85432311,0.636
0.50248394,0.636
0.53488435,0.46
0.62165519,0
0.35818768,0
0.79066112,2.047
0.66247916,1.096
0.95499931,0
0.58431859,1.57
0.38553169,0.46
0.62437345,0.474
0.90941352,0
0.57586143,0
0.55548485,0.46
0.89723115,3.14
0.90942087,1.11
0.80328791,1.096
0.5799939,0
0.74456152,0
0.87084303,1.096
0.70447092,0.46
0.76626586,0
0.3637213,0
0.65965164,3.143
0.61683039,2.047
0.43881217,0.934
0.52449567,0
0.72867814,0.636
0.67121948,3.14
0.4956312,0
0.89311404,0
0.75936225,0
1.16859368,2.192
0.73834731,0
0.86129257,0
0.30032123,0
0.81822712,0.934
0.28884349,1.57
0.80167261,0
0.51546602,0
0.4684955,0.474
0.75246989,1.573
0.75726743,0
0.77581402,0
0.51741818,0
0.80293349,0
0.78148724,1.096
0.83622399,1.096
0.49813807,1.096
0.59724874,0.474
0.71431416,0
0.6326743,0
0.62274396,0
0.7554897,0
0.47422089,2.192
0.7521245,0.636
0.60374747,0
0.52449762,0
0.75207483,1.096
0.48579134,0
0.59368207,0
0.55473958,0.636
0.51895493,1.272
0.63262758,1.11
1.16197691,1.601
0.52734479,1.096
0.57631221,0
0.59563332,1.601
0.51337646,3.16
0.72414547,2.666
0.9355127,1.394
0.57005542,0.474
0.94642133,0
0.87245907,0.636
1.11323746,0.474
0.68500682,1.096
0.66041178,2.075
0.51282703,2.666
0.5298761,0
1.02040965,0
0.65108048,0
0.95241816,3.14
0.68468161,0.934
0.47749155,0
0.56140424,1.096
0.84424426,1.096
0.524176,2.549
0.7154728,2.254
0.34281452,0
0.55203581,0.474
0.55271991,0
1.06764594,2.223
0.68685939,0.474
0.54628522,0.636
0.64052619,1.11
0.51149368,0
0.87523431,1.096
0.61490622,0
0.53600036,0
0.76271996,0
0.8622108,0.46
-0.03278796,0.636
0.74891626,0.46
0.55712571,0
0.833216,0.636
0.7616148,1.556
0.74686536,2.552
0.58661874,0
0.66322633,0.636
0.62066368,1.57
0.47060238,1.096
0.63518545,0.636
0.54626212,0.474
0.84946352,0
0.72137496,0.636
0.83818653,0
0.85943317,2.666
0.64865578,0
0.91862686,1.096
0.33057358,0
1.42205934,1.11
0.79546255,0.636
0.4085011,0
0.73233778,0
0.87612718,0.636
0.66643583,0.46
0.96100213,0.636
0.50289164,0
0.82562607,2.03
0.57533148,0.636
0.43194337,0.636
0.79721563,2.192
0.32623061,0.636
0.46894788,0
0.60969879,0.46
0.33225921,0.636
0.7434459,0
0.91565877,0.474
0.733997,0
0.94141142,0
0.99526988,0
0.60941649,2.192
0.52467879,1.096
0.50540969,0
0.69405747,0
0.97657541,1.096
0.63021789,0.474
0.82180227,0
0.7063649,1.096
0.71922338,0
0.5035545,0
1.01292731,1.096
0.626918,1.096
0.81513761,0
0.47821649,0
1.02520469,2.669
0.86584136,0.636
0.57090564,0.636
0.30628638,0
0.69819373,0
0.31662708,0.636
0.55918133,0
0.54618027,0.636
0.85547206,0.636
0.70816323,0
0.72879157,0
0.58171242,1.57
0.56897826,0.636
0.55875869,0.474
0.54068722,0
0.309881,0
0.85144525,0
0.40673717,2.223
0.80317109,2.666
0.61164335,0
0.70913775,2.03
0.42194936,0
0.52091857,1.096
0.51437626,0
0.69887368,0
0.82978842,0
0.31238771,0.474
0.35640373,1.11
0.88669634,0
0.11733752,0.474
0.43580194,1.11
0.77605426,1.57
0.97663982,3.191
0.90837742,0
0.67826046,0
0.87897996,0.46
0.6653654,1.096
0.74027623,1.11
1.1036096,0
0.6709146,0.636
0.77550418,0.474
0.9086692,0.46
0.63196476,2.666
0.40226957,1.096
0.83616954,0
0.80937496,1.615
0.43671482,0
0.48664162,0.636
0.59493116,2.666
0.28569841,0
0.80183527,0
0.87727455,3.648
0.38035294,1.096
0.84972817,0.636
0.60177613,0.474
0.61831862,0.636
0.65889668,1.11
0.48501801,0
0.4898352,0
0.71146813,1.096
0.59878134,1.11
0.34068201,0.474
0.49411205,0
0.79130516,0
0.89429941,0
0.97292199,0
0.96667755,1.096
0.69494565,2.552
0.8529143,0
0.53942116,0.934
0.97079121,0
0.46468668,1.096
0.48128586,0
0.57269907,0
0.99508004,1.096
0.51688577,0
0.40856606,2.22
1.26805576,0
0.68109493,0
0.30329205,0.46
0.58122027,1.11
0.80743695,0.46
0.53166753,0.46
0.66022723,0
0.76438336,0.951
0.39429884,0
0.59824985,0
0.62905165,0
0.64934074,0.636
0.67322466,0
0.43386511,0
1.19195323,0
0.92422195,0.46
0.42858208,0
0.65569465,0
0.91297211,1.096
0.93310455,0
0.66829582,0
1.3059485,0.636
0.7359437,0.474
0.54228603,0.636
0.82814663,0
0.64607474,0
0.42197483,0
0.61508854,0
0.57746858,1.11
0.95084955,0
0.66042361,0.636
0.74201013,0
0.67606663,0
0.60111783,1.732
0.48801203,1.573
0.61212031,0
0.48802925,0.937
0.68146783,0
0.8660892,0
0.9675797,0
0.58568382,0.636
0.98211178,0
0.44207582,1.11
0.53530415,0
0.44765862,0.636
0.4128629,1.11
0.6647076,0
1.14747556,0
0.84192354,0.636
0.64529901,0.636
0.74529981,0.636
0.99865269,0
0.63875856,0
0.50766795,1.57
0.77486749,0.636
0.60525674,1.11
0.71930944,0
0.56454959,0
0.77119288,1.272
0.59634864,1.732
0.89913384,1.096
0.8519087,0
0.57880111,0.636
0.50095798,1.57
0.89610497,0
0.73910589,2.669
0.73230478,1.11
0.95841985,0
0.77166921,0.46
0.97355613,0.474
0.55587384,0.636
0.7318989,1.11
0.63111485,0
0.52024174,1.57
0.65675893,0
0.84097893,2.68
0.78866506,1.556
0.92144198,0
0.70880887,0
0.87842805,0.636
0.71624422,0.636
0.70107083,0
0.66057958,0
0.60276254,2.061
0.74555193,0
0.30634533,1.096
0.66445178,0.474
0.49919742,0
0.42402585,0
0.59524018,0
1.1059428,3.171
0.7307013,0
0.45209166,0
0.84123201,0
0.49380031,1.096
0.73737904,0
0.96648119,0
0.57768844,0
0.20875222,0.474
0.74441503,1.618
0.5543259,2.192
0.70753606,1.096
0.79560316,1.096
0.79284977,0.636
0.96746994,1.57
0.30779844,0
0.90809509,0
0.87106859,2.092
0.65347303,0
0.57148447,4.122
0.81091229,0
0.67570443,0
0.92065481,0
1.11117548,0
0.95627882,1.394
0.98395727,1.732
0.40504017,0
0.60721199,0
0.59126282,0.636
0.88200674,0.474
0.29771738,1.57
0.8468303,4.627
0.59616733,0
0.49416385,0
0.41845298,0
