Predict,y
0.72790232,0.636
1.08976982,1.587
0.52964904,0.46
0.19171304,0
1.64850317,0
0.28377597,2.728
0.0328317,0
0.72493002,0
0.11694363,1.11
0.94000096,2.209
0.97268991,0.636
0.87324432,0.474
0.5603293,1.113
0.64920355,1.096
1.44115046,1.556
0.60094739,0
0.66774713,0
0.04428689,0
1.1613677,3.14
0.7782933,1.57
0.93260458,0.46
-0.06146651,0
0.51929005,4.122
0.65795639,0.474
0.24968009,0
0.80134796,1.096
-0.00684786,0.636
0.28039315,1.096
0.33448816,0
1.08827753,0
0.21390951,0
0.46743105,0.474
0.65261646,1.096
1.20050122,1.11
0.61032903,0.636
0.33100149,1.096
0.30290026,0
0.60607644,0
0.54044208,0
0.56765167,0
0.49738671,0
-0.13020825,0
0.4847688,3.458
0.83729517,0
0.61815156,0
0.36094586,0.636
0.76006123,0
0.35043504,0
0.33371549,0
1.25181157,1.096
0.53874805,0
0.58624356,1.096
0.87430751,0
0.62831889,0
0.95104007,1.272
0.2825051,0
0.76616168,0
0.80630747,0.46
0.5288639,1.096
0.72594809,0
0.64672816,2.075
0.52347594,0
0.82254753,1.096
1.12547516,1.096
0.84080181,0.474
0.85775947,2.524
0.09754435,1.113
0.61890203,0
1.12228461,1.096
0.35553563,0
0.40918878,0
0.66327754,0
0.28402439,2.044
0.34922954,0
1.29744605,0.46
1.05856331,0.636
0.68245482,1.096
0.42264105,0.636
0.32058493,0
0.69603815,2.192
0.32761004,0
0.86538267,0
0.76975558,1.096
1.0143761,0
1.31055671,1.096
0.20256413,0
0.96962362,0
0.41077453,1.096
0.49895678,4.644
0.22403875,2.666
0.90992528,0
1.67175054,3.157
0.16659251,0.474
-0.03258344,1.556
0.28802285,0
0.44399619,0.474
0.74441676,2.697
0.9318166,1.113
0.90872555,4.17
0.76072212,0
0.90672458,0
0.54470975,0.636
0.32386271,1.57
0.79393847,0
0.36319252,0
0.60748271,0
0.79263977,0.636
0.81219618,0.46
0.42561341,0
0.65022522,0.965
0.39779992,0
0.93835503,1.11
0.36221098,0.636
0.61035182,2.666
0.05373236,0
0.22758393,2.552
1.18192347,1.096
1.07072775,2.728
0.99926016,0
0.56162959,0.636
0.85543009,0
0.76128635,1.096
0.1174943,0
0.78303923,0
1.0772228,0
0.4772836,0
0.2090608,0
0.18852182,0
0.4490164,1.11
0.51380662,0
1.05090162,0.636
0.4173458,0.636
0.48047084,0.636
0.62655106,1.11
1.05098514,1.11
1.06277905,0.474
0.84297288,0
0.84896332,0
0.390401,0
0.85726591,0
0.97494671,0.474
0.75216653,2.192
0.48404677,1.096
0.62934751,1.11
0.60807974,0.474
1.02003014,0.46
1.00261466,1.573
0.30919652,0
0.83519829,1.11
0.60507755,0
0.64455992,0
1.15306384,1.11
0.77747486,1.096
0.11355447,0.636
0.70054232,0.636
0.62149321,3.188
0.85075016,2.666
1.62069737,0
-0.21109751,0
0.96254617,0
0.12262411,0.951
0.07069345,0
0.61732774,0.636
0.8128213,2.711
0.90963407,1.57
0.30695142,0.636
0.17799295,0
0.70167931,0.46
0.50703054,0.474
0.7188629,0
0.80021896,0
0.52843451,0
1.19569699,1.57
0.39625354,0
0.57269138,1.096
-0.00879767,0
0.37336075,0
0.12254539,0
0.57336914,0.636
0.85420159,0
1.05802665,0
0.7167603,0
1.09526632,0
0.94426704,0
0.70892434,2.711
0.62188745,1.096
0.52126184,0
1.29737013,0
0.82389088,0
0.2906987,0.636
1.11451035,0
0.75599527,0
0.49407108,0
0.48161297,0.636
0.73256407,0
0.86904958,1.587
0.59128955,0
0.94193037,1.096
0.55594158,1.732
0.99991944,0
0.72742923,0.937
1.23555064,0.636
1.02848566,0.636
0.41006435,0
0.70669057,1.096
1.07434469,0.636
0.31652817,0
0.93448873,0
1.14098428,0.636
0.54071971,0
0.5040382,0
0.85950078,1.587
0.96181729,1.746
-0.07951391,0
1.17625516,0
0.2692064,0
0.43570956,1.096
0.51132014,0
0.41386152,0.636
1.0927867,2.666
0.65112764,1.11
0.47485103,0
0.69862174,0
0.24504037,0.46
0.20229848,0
0.84824769,0
0.5052045,0
-0.29347671,0
0.46472586,1.096
0.24488943,1.096
1.6068402,1.732
1.27941507,1.096
0.77449009,1.11
0.47744793,1.584
0.47668074,0
1.0495249,1.11
0.51409095,0
0.44522253,0
1.15351547,0.636
0.41489061,0.474
0.78491332,0
0.91606052,0
0.42972393,0.46
0.36082461,1.11
0.21930199,0.46
0.08978649,0
1.25956943,2.666
0.18246982,0.46
1.31129195,3.143
0.86941182,0
0.64616562,1.556
1.44438187,3.617
0.76913134,0
1.25620612,1.732
1.01326909,2.047
1.1952744,0.636
0.3079963,0.636
0.69646303,0
0.99835716,0
1.12575828,2.092
0.90884962,0
0.10285179,0
0.26196118,1.57
0.71793435,1.11
0.70269003,0
1.132508,0.636
0.79112073,0
-0.02454259,0.934
0.88740051,0.474
0.25772956,0
0.48255634,1.57
1.11396918,0.474
1.02574167,1.096
0.92487426,1.096
0.68864331,0.636
0.92143475,0.474
0.25011407,1.456
0.73536037,2.711
-0.13924347,0
0.6734309,1.096
0.50729896,0
1.11847127,2.192
0.949937,0
0.79185091,0
0.96951973,0
0.32900078,0
0.56255503,0
1.22039781,2.047
0.84687139,0
-0.46892189,0
0.77033461,0
0.94918069,0
0.73214483,0.636
0.67490375,0.636
0.54444075,0.46
0.53026189,0
0.69802455,0
1.34248372,2.047
0.83670305,1.096
0.79449363,0
0.87326366,1.57
