Predict,y
0.63974429,1.47
1.3609487,2.374
0.44304296,0
-0.16732261,0
1.12981478,0.901
0.0311758,0.942
-0.23259016,0
0.32910416,0
0.33825319,0
1.48329115,5.554
1.11827725,0.557
0.4819789,0
0.39997519,0.484
0.33616389,0.458
1.17549254,1.015
0.40653886,0
0.1697796,0
0.36149305,0
1.10522494,6.278
1.10507726,3.12
0.62276795,0
0.64311299,0
0.74496404,2.85
0.21634797,0
-0.07201604,0
0.41590051,2.434
-0.21541268,0
0.12973346,0
0.19327765,0
1.42090304,0
-0.23943879,0.935
0.39867561,0
0.83163665,0.916
0.86208983,0.458
0.41559585,3.396
0.64969722,0.458
0.40081355,0
0.62308055,0
0.75846189,0
0.48984471,0.942
0.4603094,0
0.0822055,0.458
0.3633278,2.347
0.51872023,0
0.77601271,0.965
0.2828917,0.942
0.31591148,0
0.57320978,0.458
1.09350023,0.408
1.59394419,1.397
0.37320966,0
0.46181365,2.405
0.82975934,0
0.89170086,0.455
0.79413851,3.308
0.21809042,0
0.70223896,0
0.11127634,0
0.11330963,0.458
0.95227259,0.477
0.79864173,0.916
0.48144027,0
0.58057691,0.484
1.51854697,0.458
0.67371104,0
0.77766596,0.866
0.33556389,0
0.60588027,1.015
0.86306567,1.015
0.65460227,0
1.15524053,0
0.86978403,0
0.39349548,0
0.7777489,0.458
1.34266025,0
0.9363704,0.458
0.4108996,1.041
0.97488671,0
0.15380767,0.458
0.72377934,2.441
0.88950562,2.476
1.21397189,0
1.42053873,0.484
1.5906829,1.015
1.2907789,2.582
0.43639335,0
1.17787066,0
0.10703869,0.484
1.08204441,1.947
0.17077856,2.488
1.01388977,0
1.52535748,2.524
0.65903624,0
0.50445981,6.868
0.07897989,0
-0.14235603,0
1.07680622,0
0.74014162,0.458
0.9845041,7.956
0.6842719,0
0.57840657,0
1.03345541,0
-0.30737189,0.484
0.71565631,0.458
0.85487899,0.458
0.23131647,0
1.04913864,0
0.31791956,0.484
0.33469465,0
0.23698312,0.484
0.64930144,0
0.70115474,0
0.70040445,0.477
0.81192968,1.93
-0.22550701,0.942
0.46813569,2.298
1.02769796,1.015
0.94266893,1.4
0.52685273,0
0.03839185,0.458
0.75474774,0
0.84715159,1.976
-0.21057019,0
0.66761932,0
0.94668162,0
0.5313236,0
-0.06023359,0
0.47644627,0
0.27480863,0.458
0.89663212,0
1.19438567,0.557
-0.00455349,0.484
0.39816765,4.24
0.46151684,0
0.75084135,0
1.0445666,0
1.11276947,0
0.26078228,0
0.65712353,0.991
1.0122698,0
1.12738506,0
0.41617388,0
0.31544686,1.423
0.50893157,0
0.63317842,0
0.91631935,0.458
1.00691645,0
0.47489038,0.455
0.84092611,2.434
0.08762679,0
0.19978789,0
0.7921069,1.499
0.9922856,1.015
0.52800817,1.015
1.04468507,0.458
0.94697727,2.415
0.68350868,0.458
1.9609702,0
-0.69236547,0
0.64675085,0
-0.08287402,0.961
-0.11783241,0
0.82531387,0
0.56233347,1.041
0.89296313,1.015
-0.06718006,0.484
-0.07499571,0.458
0.52159735,0
0.35661401,2.846
0.66927808,0
0.95157757,0
0.20141345,0.484
1.36198556,0.484
0.27440781,0
0.42387146,2.384
0.20479349,0
0.30716481,0
0.01123744,0.942
0.83128835,1.499
0.8160265,1.4
0.94755686,0
1.09283252,0
1.06352389,0
0.39354655,0
0.83624532,0.458
0.20586438,0.458
0.70868222,0
1.01306134,0.458
0.73026547,1.499
-0.09192323,0.458
0.87726302,1.283
1.12627287,0
0.75151041,0
0.79619002,0.484
1.30779883,1.015
0.96176891,1.957
0.3443348,0.484
0.46621157,0
0.80082576,5.516
0.81399702,0.961
0.52487468,0.965
1.008042,1.499
0.58466108,1.041
0.5722819,0
0.58940182,1.499
0.92890337,0
0.28202997,0
0.43143916,0
1.31172723,0.458
0.40089665,0
0.20808336,0
1.06482716,0.408
0.56356969,0
-0.28798472,0
1.48715135,0
0.29539151,0
0.52299554,2.782
0.3927995,0
1.05007304,0.458
0.88491755,6.119
1.04646087,0
0.00659465,0
0.67007195,0
0.68526283,0
0.34023026,0.408
0.62390482,0
0.75590686,0
-0.59169563,0.916
0.20325857,0
0.10024319,1.499
1.78900246,1.39
1.29597756,3.327
0.48149362,2.006
0.00024854,0
0.50157986,0.484
0.9204512,0
0.32544843,0
0.72680139,0
0.81998155,0
0.34029964,0
0.76466315,1.015
0.39931272,0
0.07263873,0.863
0.66053007,2.749
0.60041996,1.716
0.00565689,0
1.11278408,0
0.15869374,2.364
1.1060582,1.907
1.20775012,0
0.93426531,0
1.61428757,0.892
0.49632518,0
1.27490561,0.458
0.99363069,1.419
1.0036442,0.477
0.73748429,0
0.93272734,0
0.98985664,0.942
0.89054519,1.35
1.00713783,1.907
0.06391881,0
0.35295626,4.439
0.64550425,0
0.72718399,0
0.82609927,0.484
1.03805263,0
0.39351373,0
0.78766794,0.942
-0.01910927,0
0.35152568,0
1.06204834,0
1.21728835,1.015
0.78739476,0
1.05698586,1.473
1.07065229,2.365
0.3017935,0
0.5201357,1.499
-0.17280253,0
0.55940049,1.015
0.66775349,0.942
0.8864923,3.842
1.16861428,0
0.84384251,0.484
1.08613518,1.95
0.31930431,0.942
0.45221499,0.458
2.02800796,1.499
0.65549766,1.015
-0.11530515,0
0.50737058,0.484
0.90877914,0
0.6716395,0.458
0.52984253,2.365
0.45972699,0
0.37893385,0
0.18300143,1.4
1.14552782,0
0.68587394,1.907
0.95892942,0
0.70857384,0.935
0.55066374,0
0.43314412,0
1.40162956,0
0.34150128,0
0.75220274,4.146
0.78855992,8.026
0.36110721,0
0.80747387,0.942
-0.0155942,0.458
0.90689922,1.015
0.83073465,0.458
0.59454381,1.878
0.25723792,0.916
-0.20156183,0
1.26627549,0
1.36235099,0.458
-0.09665231,0
0.52779154,0
1.34224208,0
1.13054436,2.514
0.43621081,0.458
0.30817751,0
1.01450117,0
0.92905459,0
0.19744914,0
0.64775523,0
0.38938223,0.557
0.96048635,0
0.77140445,1.499
1.35234085,0.458
0.04194341,0
0.34983398,0.557
0.81444754,1.458
1.03952057,0
1.02925498,0
1.12783442,3.037
0.19509498,0
0.70860411,0.417
0.37357458,4.442
0.20798276,0
0.96596784,0
1.25721023,0
0.14525931,1.015
0.26956471,0
1.05290631,3.081
0.74499169,0.942
0.68405064,0.477
0.64184824,1.015
0.63983866,0.458
0.99288157,0.408
0.53181443,0
0.86567302,0
0.84027982,1.015
0.25004196,0
1.03284399,1.499
1.366492,4.312
0.51417281,0.484
0.59026115,0.458
0.48312104,0.484
0.54993926,2.441
0.58863018,1.957
1.16637363,1.618
0.33904602,0
1.37029453,0
1.35312919,0.458
0.64360744,0
0.92126862,0
0.96940499,4.638
-0.0436163,1.426
0.15151923,0
1.11860928,0.458
1.67622739,1.419
1.0771942,0.557
0.8240085,0
0.34225427,0
-0.43308259,0.916
0.73204864,0
0.55792051,0.984
0.72072321,0.825
0.20854803,0
0.37445485,0.458
0.88264514,0.458
0.8703448,1.276
0.09602755,0
0.61978164,0
0.26252513,1.957
-0.0959148,3.495
1.0584878,2.384
0.72324506,0
0.03249712,0
1.07480137,0.458
0.36362649,0
-0.83503435,1.015
0.28815452,0
0.59265878,0
0.57606806,0
0.64770116,0
0.72533786,5.229
0.21891704,0
0.79922776,0
0.09441632,0
0.40440052,0.458
0.42474927,0.458
0.18013931,0
0.01328034,0
