Predict,y
0.68402745,0.636
0.99836635,1.587
0.50769197,0.46
0.11868511,0
1.56976445,0
0.22619277,2.728
0.06505458,0
0.68521851,0
0.11794087,1.11
0.93222441,2.209
0.85528094,0.636
0.82781272,0.474
0.46829167,1.113
0.55496824,1.096
1.45616514,1.556
0.53595924,0
0.59542566,0
0.16144746,0
1.10535399,3.14
0.65520497,1.57
0.86186764,0.46
-0.00921473,0
0.50877577,4.122
0.69994287,0.474
0.30223846,0
0.68043893,1.096
-0.04178389,0.636
0.34592778,1.096
0.33893352,0
1.12808421,0
0.15329313,0
0.40256249,0.474
0.6572795,1.096
1.12006606,1.11
0.64088266,0.636
0.45980848,1.096
0.31943963,0
0.52160663,0
0.63119644,0
0.51493246,0
0.49308754,0
-0.11089294,0
0.44159512,3.458
0.8354715,0
0.5095129,0
0.41931997,0.636
0.67792225,0
0.24550969,0
0.38223397,0
1.2219057,1.096
0.54190158,0
0.65777479,1.096
0.77058832,0
0.6648591,0
0.92881131,1.272
0.31112894,0
0.75272363,0
0.76416579,0.46
0.51700829,1.096
0.79352213,0
0.66397083,2.075
0.44373001,0
0.70850275,1.096
1.12098661,1.096
0.73437583,0.474
0.88357478,2.524
0.18435043,1.113
0.58296326,0
1.09082855,1.096
0.42459012,0
0.43679779,0
0.60211313,0
0.28506373,2.044
0.32490876,0
1.17362537,0.46
1.02622017,0.636
0.67959983,1.096
0.51414292,0.636
0.44112356,0
0.66741662,2.192
0.38690425,0
0.96955144,0
0.83228143,1.096
1.04298597,0
1.30768646,1.096
0.16872228,0
1.05563874,0
0.45136526,1.096
0.62131943,4.644
0.24778256,2.666
0.89567354,0
1.70326916,3.157
0.11774974,0.474
-0.00867887,1.556
0.33151432,0
0.35007149,0.474
0.70571779,2.697
0.95989435,1.113
0.84845205,4.17
0.65133725,0
0.95697144,0
0.49661395,0.636
0.40203213,1.57
0.77757435,0
0.4333806,0
0.55042445,0
0.73080097,0.636
0.72362863,0.46
0.43792198,0
0.63011661,0.965
0.36265877,0
0.82063965,1.11
0.31838767,0.636
0.60682958,2.666
0.06300405,0
0.18738949,2.552
1.18921149,1.096
0.98423845,2.728
0.94891757,0
0.51359394,0.636
0.82631055,0
0.80550441,1.096
0.20990389,0
0.696693,0
0.9608603,0
0.54431207,0
0.21822266,0
0.21311829,0
0.43097148,1.11
0.5995768,0
1.21014302,0.636
0.27922836,0.636
0.47349196,0.636
0.64359093,1.11
0.97723602,1.11
1.11185926,0.474
0.78088153,0
0.80595656,0
0.50890461,0
0.59135025,0
1.11094747,0.474
0.72738887,2.192
0.47570277,1.096
0.65582435,1.11
0.63610829,0.474
1.02008683,0.46
1.00630436,1.573
0.09850893,0
0.7902032,1.11
0.58419305,0
0.61082191,0
1.16578943,1.11
0.71758412,1.096
0.14505718,0.636
0.74103286,0.636
0.70191608,3.188
0.83612015,2.666
1.63800364,0
-0.32250144,0
0.99436147,0
0.03753202,0.951
0.10069358,0
0.60535464,0.636
0.84657663,2.711
0.79459026,1.57
0.26250277,0.636
0.12009704,0
0.60589514,0.46
0.55238146,0.474
0.63597426,0
0.71100371,0
0.48370927,0
1.21996864,1.57
0.54155208,0
0.55159228,1.096
0.07432146,0
0.37959594,0
0.03892836,0
0.65387885,0.636
1.02307076,0
0.99402537,0
0.8039454,0
1.03423601,0
0.78082282,0
0.61595415,2.711
0.46063703,1.096
0.41038716,0
1.08303931,0
0.73957396,0
0.29608956,0.636
1.07703034,0
0.81723061,0
0.46397513,0
0.41011959,0.636
0.69524816,0
0.85208964,1.587
0.5843233,0
0.8509256,1.096
0.59583723,1.732
0.91616135,0
0.64772732,0.937
1.21963472,0.636
0.94770795,0.636
0.33190984,0
0.56690298,1.096
1.07993184,0.636
0.39030106,0
0.88992447,0
0.93940962,0.636
0.45784316,0
0.65263894,0
0.84048063,1.587
0.9585406,1.746
-0.0770919,0
1.24601201,0
0.33927053,0
0.51603895,1.096
0.47718668,0
0.5247906,0.636
1.21684568,2.666
0.66987765,1.11
0.45444985,0
0.5746041,0
0.28545513,0.46
0.17700142,0
0.8586169,0
0.48722049,0
-0.33009011,0
0.35885033,1.096
0.2239828,1.096
1.44186665,1.732
1.11595256,1.096
0.66883464,1.11
0.31976807,1.584
0.60078565,0
1.03815958,1.11
0.49682068,0
0.42209835,0
1.07146158,0.636
0.23227944,0.474
0.80715316,0
0.91590931,0
0.37510269,0.46
0.36402239,1.11
0.24325571,0.46
0.05972459,0
1.2951926,2.666
0.13542027,0.46
1.25812686,3.143
0.85283531,0
0.7643285,1.556
1.38416624,3.617
0.88869091,0
1.28132415,1.732
0.90543503,2.047
1.2301295,0.636
0.27698135,0.636
0.67783558,0
0.95408672,0
0.8946844,2.092
0.93847348,0
0.10207264,0
0.2020197,1.57
0.67216255,1.11
0.745089,0
1.07098675,0.636
0.82542364,0
-0.07190573,0.934
0.81903174,0.474
0.22521936,0
0.45283844,1.57
1.10135691,0.474
1.12402235,1.096
0.78088228,1.096
0.74352239,0.636
0.90012673,0.474
0.38011164,1.456
0.7473772,2.711
-0.05341759,0
0.48621687,1.096
0.47266041,0
1.0972101,2.192
0.88231598,0
0.74846745,0
0.89750364,0
0.38391642,0
0.4475808,0
1.18144859,2.047
0.85660455,0
-0.3054573,0
0.79205618,0
0.81460172,0
0.67144263,0.636
0.65238333,0.636
0.54941722,0.46
0.55087061,0
0.54811546,0
1.2493454,2.047
0.79107523,1.096
0.93042077,0
0.89909065,1.57
0.56847974,0.46
0.32713329,0.474
1.21379569,0
0.48791992,0
0.81182801,0.46
0.81176645,3.14
0.94725385,1.11
0.78535038,1.096
0.31413428,0
0.76885776,0
0.97996062,1.096
0.45076749,0.46
0.56996299,0
0.05118481,0
1.22587686,3.143
1.02430135,2.047
0.39650432,0.934
0.60967195,0
0.96217235,0.636
0.68028444,3.14
0.74846469,0
0.40617305,0
1.37577349,0
0.8781299,2.192
0.60321787,0
0.67086903,0
0.36591864,0
1.12109642,0.934
0.5623342,1.57
1.20192444,0
0.4420216,0
0.33583054,0.474
0.77071667,1.573
1.08227019,0
0.94784472,0
0.45962567,0
0.5609969,0
0.84720728,1.096
0.92294795,1.096
0.56259369,1.096
0.96732737,0.474
0.68087948,0
0.27931019,0
0.50987133,0
0.98242195,0
0.9784903,2.192
0.81041978,0.636
1.00060035,0
0.37033328,0
1.16166346,1.096
0.6776318,0
0.76808191,0
0.8427393,0.636
0.11295613,1.272
0.37134896,1.11
1.00287797,1.601
0.27206372,1.096
0.40539492,0
0.68168419,1.601
0.60100941,3.16
0.80372492,2.666
0.99759105,1.394
0.43081648,0.474
0.79613609,0
1.24460588,0.636
0.92562044,0.474
1.18947785,1.096
0.46935557,2.075
0.14503351,2.666
0.15141096,0
0.90875867,0
1.15288281,0
1.2674886,3.14
0.83261035,0.934
0.40407963,0
0.21463695,1.096
0.81785168,1.096
0.73509198,2.549
0.87754741,2.254
0.57498746,0
0.32528635,0.474
1.13145195,0
0.84820381,2.223
0.39602289,0.474
0.29333097,0.636
0.12214733,1.11
-0.0039512,0
1.23520387,1.096
0.78064282,0
0.20723797,0
0.98210357,0
0.38747093,0.46
-0.34867816,0.636
