Predict,y
1.06399665,1.294
0.8768959,1.273
1.79232285,0
0.06523837,2.791
0.86227432,1.931
1.76705014,1.574
2.58270806,2.202
1.55132296,0.466
1.9560559,0.883
0.73312954,1.348
1.26971917,2.25
2.08741075,0
0.96829864,3.036
0.53287582,1.95
1.75348658,0
1.38922363,3.05
1.77512387,2.815
1.87439151,5.093
1.34473283,0.93
1.09557827,0.466
1.77104039,0
1.55656941,0.466
1.67772029,0.466
1.249471,0
1.30882809,1.273
1.71781053,4.582
1.16885511,0.883
2.04144852,1.349
2.08462243,2.865
1.80422252,0.87
1.0727884,0
1.6883778,1.834
2.58106109,1
0.73411245,1.06
0.93582759,0
1.82354747,1.754
1.23877931,0
0.75683052,2.834
1.10163285,2.635
1.72059735,0
1.26594271,0.466
-0.10063461,0
2.19828809,2.792
1.65655352,1.369
1.41483701,0.404
1.4894799,0.466
0.65829568,0
0.62088792,0.465
2.11028041,1.95
1.83426406,3.957
1.33878534,0.931
1.50599279,4.631
1.04000197,2.349
1.68260388,0
1.59680559,0
1.61753044,1.004
1.25514171,1.81
0.85283119,1.464
1.72731484,1
0.79153084,0.466
1.08484178,1.662
1.71326244,2.42
1.57468924,1.019
1.02360814,1.95
2.56901036,4.316
0.01229916,0.859
0.70579605,4.101
0.86304367,0.442
1.22790491,1.019
0.94933663,0
1.69672855,2.306
1.19240848,1.355
1.72073203,1.93
1.3839708,0
1.76199356,1.93
1.99722879,2.662
0.27922847,0.907
0.92824998,1.461
1.64942938,0.465
0.46329433,1.95
0.60923632,1.373
1.32292399,1.489
0.98901814,0.417
1.25904067,3.569
0.84715838,5.032
1.56867691,0.412
1.00941472,0.466
0.77788729,1.085
0.8027602,0
1.43408625,1.833
1.4721732,2.294
1.30839654,0.466
1.89966558,0
0.95440963,0.466
1.52081165,0.643
0.06968751,0.466
1.66769337,1.335
1.90948694,1.484
1.22910062,0.417
1.3817638,0.466
1.83756519,1.019
0.98517472,1.415
0.80174755,4.753
0.98773268,2.3
1.44288932,0
0.46407716,1.348
1.42966847,0
1.93196283,0
1.97618592,3.848
1.86095211,7.121
1.74085536,1.311
1.76333068,0.466
1.56103059,1.485
0.76974997,0.404
1.62430282,0.534
1.10712027,1.95
1.06512241,0
1.82187652,1.085
1.9012509,0
0.51985205,0
1.26996823,0.442
1.23949936,4.586
1.70961652,0
0.5395965,0.938
0.36854427,0
1.44487381,2.319
0.48397082,0
0.93009952,6.356
1.80646471,0
1.13853919,0
1.43536949,6.042
1.35642788,0
1.24299984,2.061
1.38539672,3.169
1.27700831,0.442
0.84613713,1.019
1.33077489,0.465
1.1322835,0.869
2.12240714,0
1.57752396,0
0.73631828,3.717
0.67495085,0.442
1.24576822,0.534
1.35211827,1
2.38568259,1.311
0.71298699,1.513
0.57917865,3.776
0.93837018,3.303
1.32758791,0
1.50074894,4.587
1.60578559,0
1.119713,4.207
1.79443946,1.615
2.04620967,0
1.62502442,1.907
0.19011534,0
1.87940845,0
1.26874081,0.907
1.39107303,1.792
1.94650234,3.606
0.69703587,0
0.68871126,1.777
1.6857092,2.367
1.6457903,0.466
0.60570065,0.976
1.01588234,0.931
0.7563433,4.265
1.57865095,2.03
0.92226334,0.534
1.54835293,1.442
2.05426758,4.744
1.53974665,0.417
1.78418973,0.466
1.47602112,0.442
1.87078753,0.466
1.44218072,0
1.62477356,5.194
0.81240058,2.059
1.5082647,0.643
1.13113633,2.036
1.69236577,0.442
1.36959735,3.789
0.87021629,2.294
0.96999292,0.404
1.65127059,2.415
0.60278091,2.233
0.14438598,6.139
2.14633888,0
1.37278298,0
1.28162278,0.417
1.43619288,0.534
0.89287807,2.743
1.36265716,0
1.83567057,0.908
1.49004773,1.483
1.28589449,2.362
0.90324366,0.931
1.02014147,0
0.79432665,0.976
0.84855064,1.765
0.59702442,3.15
1.11921405,3.644
1.74518077,0
1.53216372,0
1.92003305,2.896
2.19837384,1.551
1.24492587,1.55
2.58076133,1.729
0.31486051,0.466
2.03071332,2.311
1.54231854,2.832
1.1627936,1.489
1.2754409,0.485
0.4310771,1.862
0.72004293,0.643
0.70946977,0.466
0.78205233,1.047
1.71494454,1.902
0.86548398,0.908
0.66334029,2.085
0.88665102,0
0.87952447,1.324
1.52372618,1.286
0.3526456,0
0.51875108,0.883
2.62320045,1.416
1.45903258,0
0.69918103,0
1.1719368,0
1.26783558,0.883
2.22217929,0
0.47341426,0
0.51032213,0
1.56675077,0
1.16603999,0.442
1.73490329,0.442
0.52952881,0
1.70243115,2.57
1.27346779,0.908
1.3081143,1.882
1.41741587,3.373
1.6096157,2.149
1.28331197,0
1.93856595,0.404
1.38473608,1
1.15472319,1.465
1.43541888,1.485
1.44103727,0.534
1.74387027,1.416
0.63763454,1.368
1.52058285,0.534
1.39276971,0
1.8094334,1.417
1.1088595,0.534
1.81705616,0.534
0.81656795,0.931
0.91041591,0.465
0.82347473,0.466
1.90354075,2.698
1.9304775,1.128
1.5544448,1.047
1.10568266,0.951
0.89468126,0.883
1.24428653,1.911
1.34987754,1.372
0.71367914,0.442
1.53768689,1.877
1.44668881,3.277
1.76874977,1.513
1.87874891,1.886
2.09788604,0.465
1.69968091,0
1.10103474,3.506
1.47571587,0
0.6581591,4.214
2.35743731,1.423
1.69433894,0
2.24028366,0.442
0.97909411,2.294
1.30396458,0
1.01026302,2.312
2.12689531,3
1.28248155,1.465
0.57517029,0.485
1.84521831,0
1.24674628,1.526
1.51626147,1.325
2.52725438,0.95
1.49590802,2.128
-0.22552035,0.465
2.72574905,0
1.78075078,3.783
1.07016867,0
2.05636091,0
1.40644634,0
1.40896458,2.852
0.71865097,2.084
1.46013077,1.335
1.6803817,2.779
1.51709054,2.015
0.2780585,1.404
0.50266621,0.442
1.63796121,0.892
1.44734784,0
2.04949773,1
1.07577737,0
1.64056916,0
2.15710375,4.977
0.78200756,2.354
1.37480632,1.846
1.79744026,1.752
1.97863581,3.71
1.15791638,1.085
0.85895103,0.951
0.83093145,0.442
1.69827956,2.27
1.74857629,0
1.22395742,2.014
1.27536593,3.196
1.45901284,0.442
1.51359328,0.846
0.69062333,2.502
1.01217815,0
1.6374056,7.84
1.20984098,5.563
1.15350807,3.722
1.28417219,2.55
1.65672332,2.016
0.06474269,1.38
1.01046454,1.085
0.9819676,1.441
1.45756964,2.446
0.95170075,0
1.57652363,1.79
1.21903831,0
1.1675445,0.534
1.17280413,0
1.48553394,1
1.93996815,0.442
1.6348636,0
1.57900458,1.79
0.82907774,2.877
1.60598001,0.442
1.3627805,1
1.14345182,0.404
0.57354715,0.999
1.7179583,0.643
0.85672624,0
1.79858442,1.834
1.24825543,0
1.55066696,0
1.20021651,3.06
1.51638861,1.485
0.9235786,2.194
1.895615,1.489
0.3395692,2.108
1.87572902,0.466
0.94272907,1.57
1.83452794,0
1.56995931,3.208
1.52771583,1.436
1.24806078,2.487
1.16054048,1.192
0.97508513,1.902
2.09620062,0.465
2.07851372,1.95
1.71766936,0.466
1.49267465,2.172
2.8503349,0
1.72286051,0
0.99600262,0
1.08611399,0.907
1.71320404,3.534
1.11893813,0
1.56546122,2.347
1.46466,0
0.99037077,4.215
0.87561757,0
1.28200157,0.927
0.64361034,0.707
1.0379223,0.442
1.19558318,0
1.5224615,1.968
1.64579874,1.348
1.1649086,0.534
0.36314915,1.949
1.01134471,1.181
2.06514017,1.643
0.84815318,0.883
1.48548795,0.534
2.11564332,2.314
1.35215006,0
0.42398374,2.834
1.08310111,1
0.67389605,0
0.84480334,0
2.10367812,1.485
1.00026994,5.047
0.91519606,0.466
1.99617589,4.162
0.76411953,0
1.51874155,0.534
2.4897185,0
0.49006222,0.404
1.77363416,0.643
1.01824363,0
1.72241214,1.396
0.66573924,0.821
2.31419224,1.484
1.42694466,0
0.62347109,0
0.96638839,0.466
1.24449911,8.489
1.17922124,1.366
2.2861799,0
1.59473002,0
1.35841855,0.417
2.30677604,0
1.17565248,0
1.35651363,0.976
0.56859205,0.465
1.23061755,1.619
0.85905516,1.402
1.01488488,0.466
0.75425581,0.951
1.10486392,1.312
0.94341844,2.855
0.91110152,0
2.21937432,1.393
2.53095876,0.87
1.1330032,5.124
1.33716601,0.466
1.51943793,0.999
-0.0505003,0.883
1.28741951,0.534
1.23460731,0
1.39570027,0.883
1.43869472,0.404
1.49646333,0
1.32869404,1.814
0.65698505,2.55
1.40431695,4.77
1.29842613,0.854
1.53120668,6.85
1.36790204,2.275
1.61733202,2.969
1.48336838,2.415
1.700196,0.931
1.5400113,0.927
1.12963197,2.023
2.6164155,0.534
1.77891108,3.391
0.79925313,6.094
1.6861629,0
0.96135582,1.3
0.99397298,1.417
1.41052889,0.466
1.4604735,0.877
1.73087283,2.553
1.4383129,0
2.18801297,0.466
1.80942808,1.442
1.76221327,0.95
1.39204664,0
1.42848659,0
1.3846555,1.019
0.34302311,0.883
1.63283165,0.87
1.93778308,1.882
1.0466466,0.859
1.92296347,1.019
0.58860728,0
1.61073293,0.534
1.21832017,0.404
1.32668824,0.465
1.17977925,0
1.09533169,0.466
2.16542118,0
1.51710255,0.465
0.71202491,0
0.66502186,0
1.46251779,3.505
1.33372977,1.3
1.10496044,1.019
1.28584952,0
1.07166044,1.878
1.65357883,0
-0.1224925,0.466
1.26934396,0
1.70966254,0.485
0.89113732,0
1.58726302,0.95
1.73931329,0.643
1.33746597,0.466
1.23085439,0.643
0.93239116,0
1.14122357,2.326
1.0472474,4.221
1.16918332,2.832
0.29848728,1.295
0.766318,0.466
1.98118297,0.465
0.9449553,0.442
1.82924345,1.859
1.24425113,0
0.46372361,0.466
0.99306237,0.869
1.65674913,0.534
1.70185655,0.643
1.52822558,1.085
1.59656877,1.32
1.23298333,0.465
0.393007,0
0.75529244,0.466
0.65876131,0.534
1.56949334,0.466
0.84684897,0
0.52354582,0.954
1.81959222,1.814
1.85446985,1.465
1.78873347,0
2.37430115,6.586
0.89866129,6.866
0.7483471,0.908
1.00528706,0.466
0.90632985,1.792
1.40579014,0
1.81379764,4.827
1.03159021,0
1.6589202,0
1.67667901,1.484
0.31599946,0.931
0.93901674,0
1.31330766,2.204
2.86023557,7.461
2.08516879,0
0.25457957,0.908
1.86921088,0.466
1.5108444,0
1.56929934,0
1.37299055,0.643
1.40754004,1.442
1.63927202,0.466
1.28775354,1.072
1.5521008,3.794
1.25906232,0.643
1.51373938,0
0.92528706,1.368
1.76864473,1
1.68315647,5.684
1.63758855,0
1.70122628,1.777
1.7069046,0.404
0.8989575,1.047
1.75318313,1.348
0.92512253,0
0.59090789,0
0.72288519,0.976
0.99451216,4.159
1.73913599,6.737
1.85819706,4.262
0.90964504,2.723
1.95161365,0
0.74300809,0
1.38496728,1.551
0.90860658,1.363
1.27851914,0.534
1.41314123,1.95
1.1387834,0.404
0.77318371,4.098
1.9538908,0
1.10488599,0.534
1.53160041,0.442
1.21993245,1.57
1.56413167,0.465
1.70473906,1.642
2.0449807,0.417
1.62396448,1.574
1.11881675,0.442
1.30030806,1.484
1.52264273,0
1.52568705,3.794
0.97622391,0
0.84378473,0
1.54076747,0
1.1227567,0
1.38105419,2.733
1.19384454,0
0.88745133,0
1.09121385,0.442
2.32625685,0.643
1.88501707,0.442
1.09146997,0
0.89418887,0.465
0.65091501,0.465
0.30785945,1.35
1.33371349,0
0.81314894,2.386
1.28234997,3.856
1.21588489,0
1.43767591,0
1.05284922,3.543
1.01187883,0.485
1.22525352,2.13
2.41622755,5.826
0.79769101,2.617
1.48469207,0.643
1.56705057,0
0.65745677,3.613
1.19972605,0
0.65381282,0
1.64083559,0
0.9588597,0.442
1.1473158,6.512
1.51333362,1.072
1.47323975,1.38
1.86976638,0.465
2.16773783,0
2.1359185,5.467
1.672638,1.109
1.0850872,3.366
1.36372493,2.863
1.48257645,1.301
0.96513825,1.392
1.0443775,1.343
1.27984147,0
-0.03816682,0
1.37331399,2.484
1.61235919,2.369
1.1946582,0
1.69056342,1.465
0.36647801,3.475
1.18589703,0.908
1.62689183,4.631
1.79805221,0
0.3633079,3.085
2.18501375,0.931
2.18809035,3.121
1.66724916,1.177
1.18331083,2.9
1.16380032,0
0.92005395,2.878
1.3301286,0
1.09346637,0.951
0.65019977,0
1.77823295,0
1.9017263,0
0.68913167,2.758
1.25105782,8.009
1.0349135,1.485
1.20885418,0
1.422988,1.35
1.35082383,0
0.72206623,0
0.37790254,0.442
0.74221667,0
1.2275863,0
0.61333452,0.643
1.4496473,2.414
