Predict,y
-0.08144746,-0.8116
-0.38448254,-0.8154
0.4459274,-0.783
-0.48853496,2.5441
-0.20862081,0.5551
-0.13903074,-0.5171
-0.09162892,0.4671
0.14360596,-0.6348
-0.4210936,-0.8086
-0.16436708,-0.8086
0.26618384,-0.2873
0.52078533,-0.8805
-0.61701385,5.2063
0.05143047,0.3415
0.1044006,-0.682
0.12588836,-0.0469
0.61449893,-0.5869
0.2348711,2.8476
0.07615181,-0.7902
0.6887154,1.3809
0.04667188,-0.8805
0.26022152,0.1472
-0.0193194,0.2658
0.271118,-0.6757
-0.5221053,-0.6934
0.0497338,0.4689
0.22391141,-0.2444
0.2556439,-0.4378
0.05278102,0.0483
-0.18019421,-0.033
0.28977579,-0.7859
0.23832848,1.4951
0.4717004,-0.5387
0.46736738,-0.3372
0.07257612,-0.8805
-0.26137465,-0.1848
-0.11400051,-0.8805
-0.07353516,-0.3461
0.08404252,0.0885
-0.20318134,-0.36
0.43602741,-0.0507
-0.33005225,-0.6815
0.11260323,1.2302
0.31540711,0.352
0.24736077,-0.7859
-0.12091662,0.3076
-0.40672998,-0.6956
-0.98173865,-0.8805
-0.06977656,-0.3506
0.79071647,1.1189
0.12868103,-0.6514
0.52028552,2.6169
-0.11067633,-0.0959
-0.13002253,-0.6248
0.3893418,-0.786
0.20130791,0.5229
0.04812688,0.7096
-0.04494889,-0.6455
0.14261196,-0.275
-0.09091081,0.3514
-0.03843519,-0.0671
0.03719793,0.5783
0.06756168,-0.5374
-0.64863738,-0.0722
0.69373249,-0.3153
-0.22304235,-0.783
-0.65769215,0.2441
-0.24274079,-0.65
-0.64601373,-0.3712
-0.57758206,-0.8045
-0.01765361,-0.5099
-0.28388612,-0.4661
0.26641866,0.1274
-0.69001911,0.2245
-0.0272829,1.1577
-0.05087124,-0.4598
-0.89228399,-0.8805
0.16241774,0.171
0.21103989,-0.6689
-0.64765394,0.4229
-0.65880134,-0.8086
0.05846797,-0.3371
-0.12737931,-0.6827
-0.3874356,-0.0461
-0.09208143,6.1691
0.04932802,-0.4989
0.20497605,-0.5989
-0.14636282,-0.6109
-0.16880297,-0.3847
0.06875331,0.0343
0.10956535,2.1172
0.52783411,2.7528
0.06953095,-0.6644
-0.4410561,-0.8086
-0.24406617,-0.3923
-0.28634076,-0.1027
-0.33273039,-0.4847
0.10416258,-0.4208
0.13296875,-0.4519
0.24734087,-0.5093
0.1196666,0.5338
0.12053591,-0.2467
-0.10152898,1.5763
0.09429962,2.9633
-0.06142936,0.4396
-0.20322744,0.1979
-0.39443918,-0.6757
0.37838069,-0.5661
-0.10646687,-0.256
-0.51532991,2.1379
0.09622972,-0.7859
0.18240996,0.4339
-0.24026254,-0.4598
0.29385666,-0.8805
-0.24232005,-0.5204
-0.09295755,-0.3972
0.24391829,-0.7063
-0.00842038,-0.5936
-0.45421782,-0.8805
-0.04838005,-0.8805
-0.09812908,-0.8805
0.50241009,0.4717
0.05668027,0.5213
-0.19827495,-0.0749
-0.08968578,-0.8805
-0.34519169,2.6812
0.24416965,-0.4704
0.32979134,1.3167
-0.04639164,-0.7044
-0.24090115,-0.8805
-0.02351551,0.026
0.76619214,-0.5438
-0.12404436,0.7245
0.33349232,-0.0392
0.14301533,-0.3258
-0.36644543,-0.1628
0.13744703,-0.4609
-0.3004375,-0.8805
-0.05752699,-0.8805
0.21491409,-0.6504
-0.50944903,-0.328
-0.19487146,-0.5263
0.21097642,-0.8061
0.13143486,-0.0811
0.0189952,-0.0938
-0.59403632,-0.3248
0.01609042,1.1476
-0.69854231,0.3604
0.02585147,-0.3943
0.4720317,1.2149
-0.12039714,-0.4201
-0.06342036,2.2399
0.38347874,1.6884
0.7746102,-0.137
-0.33079738,-0.6397
-0.23246637,-0.4566
0.81976399,-0.8805
-0.14749538,-0.8805
0.10733515,3.0829
0.43689545,0.1804
-0.12302645,-0.8805
0.34961207,-0.233
-0.31298896,-0.3958
0.28218348,0.3716
0.23850807,-0.7201
0.70291003,2.1674
0.14717237,0.5225
0.42312762,0.0556
-0.36860565,-0.8061
0.47306774,0.5206
-0.16897522,-0.4317
0.17777828,0.4585
-0.31754762,1.4935
0.61606256,-0.5228
0.47857705,-0.7074
-0.56640834,0.8162
0.13614777,0.7003
-0.44769148,1.4244
0.01365366,-0.8805
-0.45443983,-0.1853
0.1276724,-0.8805
0.33303977,0.049
-0.16980345,1.2686
-0.43305341,-0.6059
0.15044965,-0.0398
-0.12612723,1.483
-0.2401403,1.7641
-0.18355299,-0.8805
0.15440237,-0.7859
0.77878237,-0.1482
-0.11507191,-0.2074
-0.17281359,1.8742
0.29739692,-0.8154
-0.21303583,0.699
-0.47176001,0.2699
0.8898484,1.4575
-0.29225825,-0.8086
-0.4700484,-0.7827
-0.055776,-0.5364
-0.77807555,-0.8086
-0.31078924,0.7303
-0.03974841,0.301
0.40462224,-0.6693
0.08791954,-0.8805
0.4086112,0.8156
0.31449168,1.1617
-0.33887766,-0.786
0.12402693,0.6227
-0.30288771,-0.3001
-0.05001465,1.8963
0.30936489,0.3172
0.02221656,-0.7006
-0.18522675,1.3777
-0.01959177,3.5021
-0.19655251,-0.611
0.20619146,0.1093
-0.48819185,-0.6953
0.18757029,0.7349
-0.12111471,-0.8086
0.05120672,1.6118
-0.18712195,-0.8805
-0.20243229,-0.6938
-0.02059439,0.6999
-0.0515134,-0.8805
-0.348732,-0.1817
0.37901942,0.2344
0.03815408,-0.2821
0.37887304,-0.7859
0.01036815,-0.2824
0.11441026,-0.4577
0.6617998,0.0629
-0.15112115,-0.8805
-0.58750027,-0.8805
-0.22084918,-0.8805
-0.27282164,-0.5118
-0.16004383,-0.8154
-0.82518292,-0.7859
0.4037937,0.3727
0.65782162,-0.3681
0.26118828,-0.5064
0.20161815,0.8544
-0.50473666,-0.2486
0.09797795,0.3767
0.01308255,-0.7771
-0.54055409,-0.6376
0.47456849,1.2459
0.05579861,-0.6566
0.03291066,0.2551
0.11254211,-0.7311
-0.03107765,-0.6365
1.52645571,-0.0125
-0.02797756,-0.5381
-0.03638873,0.9344
-0.45124725,-0.6212
0.09361376,-0.3937
0.01218365,0.1395
0.16924265,-0.2785
-0.45575813,-0.6369
0.10829329,1.2575
0.19849765,0.3212
0.25416742,0.3165
0.29611136,0.4496
-0.02468086,0.2507
0.47231183,1.4312
-0.08466211,0.7406
0.02745906,-0.4137
-0.6467903,-0.4823
0.60897832,1.2995
0.10036721,-0.2692
0.70057781,-0.1717
0.25487683,-0.8805
0.23201004,-0.8805
-0.33918902,-0.3574
0.01345109,-0.7839
-0.32807319,-0.0042
0.59381241,0.2714
-0.0209406,0.0758
0.4676099,-0.3979
0.37599787,0.53
0.25563192,-0.7771
-0.09464558,0.531
0.2790793,1.6157
0.19880441,-0.3538
0.04804529,-0.49
-0.15084423,-0.8805
-0.37738298,0.7998
-0.07681091,0.3876
0.80066415,0.6327
-0.11274113,-0.2183
-0.13181404,-0.8154
-0.10625427,-0.8805
0.79856014,0.6516
0.33226824,-0.8805
-0.20578215,-0.7722
0.18422017,-0.8805
-0.46141337,3.4149
-0.0982094,-0.2358
-0.51127112,-0.5566
-0.24749859,0.1825
-0.11870425,0.4137
-0.97720344,-0.1785
-0.45635648,-0.1185
-0.77877727,0.689
-0.33152852,-0.8805
-0.29663145,-0.1518
0.16767036,0.064
-0.4727297,-0.5945
0.23385051,0.8779
-0.48715551,1.6005
0.49345781,1.2235
0.05109662,0.7515
0.01921922,0.5718
-0.21926708,-0.3012
-0.04470903,-0.7115
-0.20597164,1.217
-0.20454492,0.4051
0.26786061,-0.7859
-0.14566518,4.724
-0.3403055,1.099
0.21340033,-0.392
-0.47514663,-0.6776
-0.09028131,-0.07
-0.01648375,-0.8805
0.122301,2.8866
-0.16542622,0.6668
-0.05289792,2.8777
0.71970505,0.5755
0.47796592,-0.5355
-0.66167945,-0.2325
0.49742728,-0.2347
-0.56165504,0.097
0.36893466,0.027
-0.83368679,-0.8805
-0.67792239,-0.7052
0.69240595,-0.8805
-0.18213436,-0.5047
-0.12535866,-0.4317
0.0887811,-0.1199
-0.27020498,-0.8805
